,rank,Movie name,rating,year,voting,gross,duration
17,18.,"<a href=""/title/tt0073486/"">One Flew Over the Cuckoo's Nest</a>",<strong>8.7</strong>,"<span class=""lister-item-year text-muted unbold"">(1975)</span>","<span data-value=""1019236"" name=""nv"">1,019,236</span>","<span data-value=""112,000,000"" name=""nv"">$112.00M</span>","<span class=""runtime"">133 min</span>"
18,19.,"<a href=""/title/tt0080684/"">The Empire Strikes Back</a>",<strong>8.7</strong>,"<span class=""lister-item-year text-muted unbold"">(1980)</span>","<span data-value=""1308002"" name=""nv"">1,308,002</span>","<span data-value=""290,475,067"" name=""nv"">$290.48M</span>","<span class=""runtime"">124 min</span>"
19,20.,"<a href=""/title/tt0816692/"">Interstellar</a>",<strong>8.6</strong>,"<span class=""lister-item-year text-muted unbold"">(2014)</span>","<span data-value=""1876491"" name=""nv"">1,876,491</span>","<span data-value=""188,020,017"" name=""nv"">$188.02M</span>","<span class=""runtime"">169 min</span>"
20,21.,"<a href=""/title/tt0120815/"">Saving Private Ryan</a>",<strong>8.6</strong>,"<span class=""lister-item-year text-muted unbold"">(1998)</span>","<span data-value=""1409800"" name=""nv"">1,409,800</span>","<span data-value=""216,540,909"" name=""nv"">$216.54M</span>","<span class=""runtime"">169 min</span>"
21,22.,"<a href=""/title/tt0102926/"">The Silence of the Lambs</a>",<strong>8.6</strong>,"<span class=""lister-item-year text-muted unbold"">(1991)</span>","<span data-value=""1452290"" name=""nv"">1,452,290</span>","<span data-value=""130,742,922"" name=""nv"">$130.74M</span>","<span class=""runtime"">118 min</span>"
22,23.,"<a href=""/title/tt0114369/"">Se7en</a>",<strong>8.6</strong>,"<span class=""lister-item-year text-muted unbold"">(1995)</span>","<span data-value=""1677624"" name=""nv"">1,677,624</span>","<span data-value=""100,125,643"" name=""nv"">$100.13M</span>","<span class=""runtime"">127 min</span>"
23,24.,"<a href=""/title/tt0076759/"">Star Wars</a>",<strong>8.6</strong>,"<span class=""lister-item-year text-muted unbold"">(1977)</span>","<span data-value=""1380406"" name=""nv"">1,380,406</span>","<span data-value=""322,740,140"" name=""nv"">$322.74M</span>","<span class=""runtime"">121 min</span>"
24,25.,"<a href=""/title/tt0120689/"">The Green Mile</a>",<strong>8.6</strong>,"<span class=""lister-item-year text-muted unbold"">(1999)</span>","<span data-value=""1320440"" name=""nv"">1,320,440</span>","<span data-value=""136,801,374"" name=""nv"">$136.80M</span>","<span class=""runtime"">189 min</span>"
25,26.,"<a href=""/title/tt0245429/"">Sen to Chihiro no kamikakushi</a>",<strong>8.6</strong>,"<span class=""lister-item-year text-muted unbold"">(2001)</span>","<span data-value=""778171"" name=""nv"">778,171</span>","<span data-value=""10,055,859"" name=""nv"">$10.06M</span>","<span class=""runtime"">125 min</span>"
26,27.,"<a href=""/title/tt0118799/"">La vita è bella</a>",<strong>8.6</strong>,"<span class=""lister-item-year text-muted unbold"">(1997)</span>","<span data-value=""704692"" name=""nv"">704,692</span>","<span data-value=""57,598,247"" name=""nv"">$57.60M</span>","<span class=""runtime"">116 min</span>"
